Place Name,Area Type,Weather,Altitude (m),Region,Cost Estimates (?),Wikipedia Link,Image
Ranikhet,Hill Station,Pleasant summers and  cold winters,1829,Kumaon,5000-10000,https://en.wikipedia.org/wiki/Ranikhet,https://tse1.mm.bing.net/th?id=OIP.mpDua2HZ9KaYViOtwpVUGgHaE7&pid=Api&P=0&h=180
Jageshwar,Temple complex,Pleasant summers and  cold winters,1870,Kumaon,2000-5000,https://en.wikipedia.org/wiki/Jageshwar,https://tse4.mm.bing.net/th?id=OIP.Swwpr0MhYvOng6SI-8LPYwHaFj&pid=Api&P=0&h=180
Bageshwar,Hill Station,Pleasant summers and cold winters,1036,Kumaon,4000-8000,https://en.wikipedia.org/wiki/Bageshwar_district,https://tse4.mm.bing.net/th?id=OIP.8e41GYRoGj0TChCJYwZStwHaFB&pid=Api&P=0&h=180
Gwaldam,Hill Station,Pleasant summers and  cold winters,1830,Garhwal,4000-8000,https://en.wikipedia.org/wiki/Gwaldam,https://tse4.mm.bing.net/th?id=OIP.3crFnlYfPiXhwwgaG2OhSgHaDf&pid=Api&P=0&h=180
Pangot,Hill Station,Pleasant summers and cold winters,1793,Kumaon,4000-8000,https://en.wikipedia.org/wiki/Pangot,https://tse2.mm.bing.net/th?id=OIP.tJd8FlgDg3FbNGsQCFT5ngHaEj&pid=Api&P=0&h=180
Kathgodam,Railway town,Subtropical climate,387,Kumaon,2000-5000,https://en.wikipedia.org/wiki/Kathgodam,https://tse2.mm.bing.net/th?id=OIP.FjaU5MAFOvTDzQv3KREH5wHaDl&pid=Api&P=0&h=180
Chamoli,Hill town,Pleasant summers and cold winters,1264,Garhwal,4000-8000,https://en.wikipedia.org/wiki/Chamoli_district,https://tse4.mm.bing.net/th?id=OIP.3VvROYUhLdS_Vdf2AoXbCAHaEK&pid=Api&P=0&h=180
Pauri,Hill town,Pleasant summers and cold winters,1871,Garhwal,4000-8000,https://en.wikipedia.org/wiki/Pauri_Garhwal_district,https://tse2.mm.bing.net/th?id=OIP.33ZrkZ1PL4CcpkzwPDtsMwHaE8&pid=Api&P=0&h=180
Khirsu,Hill Station,Pleasant summers and cold winters,2000,Garhwal,5000-10000,https://en.wikipedia.org/wiki/Khirsu,https://tse4.mm.bing.net/th?id=OIP.zcsjTSM9uqBcxq91D_3POAHaDq&pid=Api&P=0&h=180
Rudraprayag,Town,Subtropical climate,878,Garhwal,2000-5000,https://en.wikipedia.org/wiki/Rudraprayag_district,https://tse3.mm.bing.net/th?id=OIP.9m-d7gEMYTUvl4QQG_ZreQHaD6&pid=Api&P=0&h=180
Gaumukh,Glacier source,Cold alpine climate,3810,Garhwal,7000-15000,https://en.wikipedia.org/wiki/Gaumukh,https://tse2.mm.bing.net/th?id=OIP.8rjrCxPPD7YmpIo3KS-4-wHaE7&pid=Api&P=0&h=180
